province,city,lon,lat,pop,consumption,product
Shanxi,Xinzhou,112.7406242,38.42238339,314.13,6599.974355,16719.08946
Shanxi,Yangquan,113.5876167,37.86236085,139.83,3880.073029,9933.777126
Shanxi,Yuncheng,111.0133895,35.03270691,527.53,13249.40081,65637.11745
Shanxi,Changzhi,113.1225589,36.20126837,342.04,11116.42949,33751.01758
Shanxi,Ankang,109.0356011,32.69051277,265,9508.063533,22658.85142
Shanxi,Baoji,107.2445754,34.36891564,376.33,16513.13754,18154.5663
Shanxi,Hanzhong,107.0294302,33.07379991,343.81,12277.35364,24026.51671
Shanxi,Shangluo,109.9244179,33.87863385,235.74,8278.624771,10908.06466
Shanxi,Tongchuan,108.9524042,34.90263708,84.62,3261.248107,2869.679698
Shanxi,Weinan,109.5165896,34.50571552,535.99,20584.42453,17006.22559
Shanxi,Xian,108.9464656,34.34726882,870.56,45931.22875,22021.09598
Shanxi,Xianyang,108.7154225,34.33547629,497.24,21878.34535,17184.52753
Shanxi,Yanan,109.4965819,36.59111104,223.13,9622.241536,6307.669375
Shanxi,Yangling,108.1027049,34.26956437,20.34,1065.595146,1111.713358
Shanxi,Yulin-Sx,109.741616,38.29088384,340.11,14343.86358,8706.467848
Shanghai,Shanghai,121.4805389,31.23592904,2415.27,631254.9672,33691.06507
Sichuan,Aba,102.2314155,31.90551158,93.01,20632.74809,1021.230562
Sichuan,Bazhong,106.7515853,31.87288859,332.86,81481.68503,18273.43958
Sichuan,Chengdu,104.0815335,30.65582188,1465.75,375782.5113,136374.0439
Sichuan,Dazhou,107.4745939,31.21430772,556.76,130168.1378,102621.5547
Sichuan,Deyang,104.4044194,31.133115,351.32,84438.23225,108400.7912
Sichuan,Ganzi,101.9685467,30.05527884,116.49,28544.00735,312.1374831
Sichuan,Guangan,106.6395527,30.46174611,324.66,73173.28975,50438.10646
Sichuan,Guangyuan,105.8504232,32.44161631,263,55604.19955,30075.44486
Sichuan,Leshan,103.7725376,29.55794072,326.05,75790.75691,61772.67348
Sichuan,Liangshan,102.2735027,27.8877523,468,100123.611,29596.91369
Sichuan,Luzhou,105.4485241,28.8776683,428.52,104736.055,60838.47961
Sichuan,Meishan,103.8565633,30.08252612,300.13,68968.94737,51268.02695
Sichuan,Mianyang,104.6855619,31.47366305,477.19,110726.0493,106026.908
Sichuan,Nanchong,106.1175026,30.84378251,636.4,127594.9391,98139.67681
Sichuan,Neijiang,105.064588,29.58588654,373.97,79156.03203,46653.7168
Sichuan,Panzhihua,101.7255412,26.58803317,123.25,30072.97314,6653.699393
Sichuan,Suining,105.5994215,30.53909767,329,70215.91863,35713.37481
Sichuan,Yaan,103.0495426,30.01679255,154.68,27221.29549,17557.00812
Sichuan,Yibin,104.6494037,28.75800703,449,98070.95167,67393.36675
Sichuan,Ziyang,104.6344353,30.13495656,356.93,83990.12276,52328.16803
Sichuan,Zigong,104.7844488,29.34558492,277.02,68824.73171,45087.22694
Tianjin,Tianjin,117.2108131,39.1439299,1546.95,109910.7975,93297.32493
Xinjiang,Aksu,80.26694348,41.17502986,253.05,18253.10323,68417.20945
Xinjiang,Aletai,88.1479262,47.85072787,66.8,5014.858724,3202.939809
Xinjiang,Bayinguoleng,86.15171387,41.77028733,139.38,13759.07454,15045.33378
Xinjiang,Boertala,82.07291476,44.91219641,47.97,4480.661235,2423.965836
Xinjiang,Changji,87.31500162,44.01685416,139.28,13783.71385,110830.256
Xinjiang,Hami,93.52835509,42.85859633,61.67,6503.461547,3573.912693
Xinjiang,Hetian,79.92850706,37.12044646,232.43,12342.18959,45315.75393
Xinjiang,Kashi,75.99639056,39.47609675,449.92,23454.90558,100003.7889
Xinjiang,Kelamayi,84.89590054,45.58567524,29.97,4971.203991,818.9036429
Xinjiang,Kezilesu,76.17430868,39.7204712,59.61,2694.467,4467.149078
Xinjiang,Tacheng,82.98723552,46.75094825,102.42,9544.98914,12484.86097
